,F1: Superficial,F2/3: Stroma_PPARG+,F2: Universal,F3: FRC-like,F4: DP_HHIP+,F4: DS_DPEP1+,F4: TNN+COCH+,F5: NGFR+,F5: RAMP1+,F6: Inflammatory myofibroblast,F6: Myofibroblast,F7: Fascia-like myofibroblast,F_Fascia
14696,IGKV3D-25,AC105389.3,ECPAS,AC135178.2,SPINT4,KRTAP3-3,KIF3C,TRIM54,IGHVII-67-1,AC111170.1,FUT7,AC012229.1,TRAV15
14697,OR5K3,AL512363.1,AL132655.1,NLRP3,SPATA4,TBL1XR1-AS1,AC138625.2,AC004801.3,AC125421.2,CNN1,SPDYE2B,IGHV3OR15-7,hsa-mir-1253
14698,Z82185.1,AL356387.1,LINC01733,KCNQ1-AS1,ADAM28,MAGEB3,AF001548.2,AC125494.2,IGHV1-68,LINC02385,SLC16A4,TNP2,IGHV3-16
14699,AC074389.3,LINC01838,AC022140.1,PKD2L1,AL354994.1,AC087501.3,PCDHGB7,RBM15-AS1,AC113146.1,NEK5,OTOR,AL133467.4,PRR23D2
14700,AC105105.2,DDC-AS1,AC020661.1,LPP-AS1,SMIM11B,C19orf85,BPIFB1,AL358333.1,AC092447.8,DEFB124,AC007998.4,PRM3,OPN1MW2
14701,IGLV3-15,DDC,LINC02000,AC006262.3,AP000345.2,AC010468.2,AC025434.1,AC008764.6,AP000439.3,AC093732.1,MSLNL,OR2Y1,AC092687.1
14702,TRBV26,CFAP126,ANAPC2,AL162408.1,GRPEL2-AS1,AF196972.1,ZBTB25,RTL9,IGHV3-6,CCR5,LINC02527,AP000532.2,IGKV2D-38
14703,AC136352.2,AC025566.1,HNF4A-AS1,HRH4,SEC31B,AC112695.1,GPR55,PERM1,DEFB106B,LINC01612,BEST2,AC100826.1,USP17L11
14704,IGLV3-7,FGF12-AS3,CTXN2,AL157838.1,AC007014.1,AC080078.1,C1orf167,AC087521.4,TRBV8-1,AC104116.1,LCK,FP236240.1,TRBV24OR9-2
14705,IGKJ2,HTR2A-AS1,AC091180.4,TAS2R13,PPP2R3C,ALPP,TMEM201,ZNF443,IGHV1-14,LINC01221,AC128709.3,IGHV2OR16-5,LRRC30
14706,IGKV5-2,SERPINB10,CLDN34,AC008735.4,PRPH2,NAT16,ETS2,DHRS13,IGLV1-62,GRIK4,AL109954.1,C17orf112,AC133551.1
14707,AL157387.1,BX088723.1,LINC01883,CSNK1A1L,HYDIN,CHIA,AL132822.1,AC016957.2,IGLV3-24,LLGL2,CYP3A7,LINGO1-AS2,OR5K3
14708,IGKV2D-26,LINC02096,NR2C2,LRRTM2,BHMT,AP003306.1,CYTH3,HAX1,OR2T34,GAPDHS,AL031280.1,GNG13,OR5D13
14709,IGKV6D-41,LINC02013,BIK,SYNPO2L,DSG1,CXorf21,AC036108.3,FRS3,IGHVII-53-1,CRYBB1,AC015813.3,IGKV6D-21,AC026414.1
14710,IGKV1D-42,SFTPA1,AC243830.2,PITPNM2-AS1,AC012557.2,TRDJ2,MEF2B,UBAC2-AS1,FAM47A,AC074344.2,PLCH1,IGHV1-17,AL034430.1
14711,IGLV4-60,AC012574.2,ING2,AC138230.1,RTKN,AC004448.1,CD207,SNX11,AC134981.1,AL049775.3,AL691447.2,IGHV3-71,LINC02239
14712,AC097381.2,PSG5,RAG2,CHCHD6,AC097460.1,AL589642.1,AMER3,AC025034.1,AL358117.1,PELI3,AL390037.1,AC005609.3,AP003174.2
14713,AC096559.1,CT62,LINC02411,AC123912.4,AL390037.1,FABP2,LINC01100,HOMEZ,AF233439.2,AC007570.1,RNF224,LINC02171,AC044798.2
14714,AC245056.1,AC112503.2,NAPA,LINC02091,ERMAP,TESPA1,AC114550.3,ATG13,AC083841.3,RASL11A,ZSWIM1,AC118755.1,IGLV1-62
14715,FAM27E5,AL138830.2,LINC00336,CPEB1-AS1,CADM2-AS1,IRAK3,SLC4A1,AC016644.1,KRTAP9-8,TRBV5-1,AC008667.1,AC009134.1,UGT1A4
14716,AL122008.3,NUTM2D,AC068189.1,LINC00550,AL645634.2,LAPTM4A,EBI3,SGPL1,IGKV2D-19,FUT7,LINC00501,AC005920.4,AL353747.2
14717,AC044798.2,LINC01653,LINC01962,AL023803.2,KLHL41,AL451127.1,MAP3K15,AC116609.3,AC096736.2,BIN2,LINC00637,AC062020.1,TP53TG3C
14718,AC061975.6,AC010761.6,LINC01666,PPBP,KCNK5,AL390061.1,AC092757.3,GALK2,MAGEA2B,AP000569.1,C1orf210,AC092142.2,IGHV1-58
14719,RNASE12,AC111149.1,SPANXD,GAPDH,ARAF,AL355997.1,PIPOX,AS3MT,PRAMEF18,HAS3,LINC02299,AC027045.3,AC135776.2
14720,TEX13A,AC003965.1,LINC00326,LINC01847,NDST4,AL445072.1,ZNF707,CYP4A22,AC110288.1,BCL6B,LINC02335,OR10J5,IGHD1-14
14721,AC133551.1,POF1B,HOOK1,TMLHE-AS1,DGAT2L6,SLC5A7,PHKA1-AS1,NECTIN4,IGLVIV-65,FBXO31,LINC02099,DEFB125,KRTAP10-7
14722,GCSAML-AS1,AC002115.1,AC099568.2,SLC12A9-AS1,C11orf65,AC092114.1,AC011816.2,LINC02361,AC245088.2,DACT3-AS1,CCDC42,OR6B3,IGHD3OR15-3B
14723,IFNA21,AL391597.1,LINC01934,AC090457.1,LINC01924,OR52D1,CD37,RRAGA,IGHVIII-51-1,AC010424.2,LEMD1,AC095057.2,IGKV3-34
14724,AC008175.1,FP236315.3,NYX,ZNF502,RPLP1,AC004543.1,AP003025.2,KLHL26,BX927359.1,AC073389.3,OR4D10,AC068580.2,IGLC4
14725,IGLVVI-25-1,AC020934.2,DENND1C,AC145207.7,AC092368.3,AC136944.1,NCKAP1,NAGPA-AS1,IGHV1-12,MANCR,KIF5C,AL008733.1,AC135776.1
14726,IGHVII-74-1,AC010401.1,AC023983.2,PIGO,NAALADL2-AS2,HLA-DOB,ZNF565,AC090186.1,OR4C46,AC137761.1,ZNF578,AC133480.1,AC022447.3
14727,IGHVIII-2-1,AC009120.3,GACAT3,CYSRT1,USP4,LINC00244,AC008736.1,LINC02572,AL008638.4,AC016027.1,AL355112.1,AC006159.2,LINC01784
14728,DEFA1,LINC02113,AC027449.1,AC113410.2,AC009034.1,AL162408.1,DDIT4-AS1,S100A7,IGHVII-33-1,AC113346.1,OR5BS1P,CR383656.12,AL035696.1
14729,AP006748.1,CRLF2,IGHV3-23,AC010745.5,PKN3,LINC02428,AL355312.4,GNAT2,AC136428.1,FAM9B,SPEF1,AL136982.7,OR5L1
14730,TRBV29OR9-2,AL592431.2,KCNJ4,AC069281.1,ASPRV1,AC021483.2,SLC12A5,IGLV1-51,IGHVIII-11-1,AC003005.2,LINC00836,TEX47,TTTY5
14731,LINC02155,SLC27A2,AL139819.1,AC009159.1,CSTF3-DT,FANK1-AS1,AL445465.2,AL358334.3,IGKV2D-18,HNF4G,AC006017.1,AC005281.1,DEFB115
14732,KRTAP9-7,AC069540.2,AC008105.1,USP17L7,AC099518.4,AL022068.1,BX072579.1,CENPBD1,AC024681.2,AC078962.3,AL162727.2,AC112242.1,AF067845.4
14733,KRTAP20-3,RNF225,TOMM34,AL357509.1,AC079313.2,LINC00415,NAT10,ZNF383,IGHV3-42,RSPO4,AC092316.1,AP003385.3,IGKV2-28
14734,KRTAP20-4,ZSWIM2,AC010973.1,AC022858.1,OXNAD1,AC009088.2,VPS33B-DT,FBXO28,IGKV2-18,AC005208.1,RNF34,KRTAP27-1,AC015468.2
14735,AC023824.5,AC004221.1,LINC00582,KIF4B,C1orf100,KLHL17,AL358612.1,UVSSA,IGHVII-74-1,AL162734.1,AC092574.1,AC126323.6,KRTAP9-6
14736,IGLV11-55,TMEM132D-AS1,ZNF268,AL139327.2,REEP4,QPCTL,SPIN4-AS1,AL023881.1,DEFB105B,AC118757.1,AC104119.1,AC068134.2,RSC1A1
14737,AL137076.1,AL160313.1,OR8S1,FBXO3-DT,C5orf47,AC080013.1,ILK,AL121890.5,LINC02155,AC078929.1,MMAA,LINC02339,IGKV2-38
14738,IGKV1OR-3,LINC01400,AC103739.1,AP001178.3,DOCK4-AS1,AC104333.4,AC104211.4,LINC01963,AC061979.1,AC099778.1,AC080188.1,PRAMEF27,IGHVIII-47-1
14739,GPR50-AS1,AL359853.1,ADRA2B,AL117382.1,AL078590.2,OR2M4,LINC02380,HCST,DEFB106A,AC010967.2,AC087289.2,AL138962.1,TRBV8-1
14740,IGHVII-46-1,AL590787.1,AC022150.1,AC008641.1,DNAAF5,AC055736.1,AC009404.1,DCTN1-AS1,CU104787.1,AC116158.1,PNMA8C,AL390786.1,OR4N4
14741,TRBV5-3,C3orf52,CYP2A13,AC007557.3,AL445465.1,AC062037.2,AL353708.2,LRRC55,BECN2,ZNF117,LINC00366,AC024581.1,IGHV3-30-2
14742,TRBV10-1,EGF,FANCL,PAICS,LINC00853,AP003557.1,MS4A18,SLC16A10,RBMY1E,AC005486.1,SLC25A47,AL929601.2,OR51A2
14743,OR4C12,AC090377.1,NLRP5,AC011477.3,C1QTNF9,AC079848.1,MICB,AC009320.1,OR5R1,MAGEA4-AS1,AL357568.1,AC096734.1,OR51A4
14744,LUZP6,CLEC18C,LINC00484,DNAJC15,DDI2,AP003170.3,PRB2,PNKD,BPY2C,AC093864.1,DLG5,AC023394.1,FAM27E5
14745,OR6X1,AL136368.1,AC026992.1,TUBGCP2,SLC9A9-AS1,LILRB2,NEU3,AL355816.1,AC105133.1,ANKRD30B,AMER1,AL031687.1,AL390294.1
14746,SCGB1C2,SHPK,GATA3-AS1,AL360268.2,AC023389.1,RBP3,AC119403.1,EXOSC9,CT47A2,PEG10,PRSS54,DEFB116,AC021035.1
14747,AC145141.1,AC008649.1,AC019209.3,AC010261.1,AC068234.3,AC068620.2,MAP3K3,LINC01535,LINC01438,FAM83C-AS1,PPP1R3A,AP000793.1,AC025277.1
14748,TRBJ2-2,AP000879.1,AC105265.4,DUSP7,AC068722.2,INTS6L-AS1,CSE1L-AS1,CEP128,AC022784.6,DNAH8,AP003122.2,CCDC54,AC087399.1
14749,IGLVVII-41-1,KCNJ18,AC012555.2,AL133453.1,MEIOC,AC120045.1,TSPYL6,DLGAP1-AS4,AC018716.2,AC067945.2,PHKG2,AC055717.1,AC093726.1
14750,AC097467.1,AL450344.2,AC092894.1,AC009142.1,HIST1H4J,AC034102.3,AKAP14,MIS18A-AS1,OR5H2,AC092162.2,AL450270.1,AL163973.3,AC022441.1
14751,AC093763.1,AC025754.1,MRPL45,LINC01058,ADH6,NEK11,AC093206.1,FAT1,DEFB105A,LINC01714,LINC01857,AC133865.1,AL445644.1
14752,IGHVII-67-1,LINC01818,LINC02172,AC073575.1,AZU1,AL353770.4,AC125618.1,ITFG2-AS1,KRTAP5-5,ZNF486,AC008641.1,AP001205.1,AC008413.2
14753,POM121L12,AC018761.3,AC112491.1,AC068473.1,LARS2,AC016705.1,ITGB6,C1QL3,AC061975.6,AL162293.1,AP000357.2,AC068483.1,KRTAP2-1
14754,TRAV7,AC002550.2,AL583722.3,OR13C2,LINC02227,FAM151A,AC002550.2,ITFG1-AS1,IGLVI-20,AC097532.2,AC136489.1,AL596211.1,OR4A15
14755,AC009041.3,AL355916.1,CCDC42,AKR7A3,LINC01862,LINC02114,AL031055.1,AL360182.2,AC087463.3,AC004918.1,F8,AC004801.5,IGLV3-13
14756,TRAV9-1,TOPBP1,AC105001.1,MS4A10,POU5F1,AC106754.1,CHIA,INTS4,NBPF6,AC097713.1,AC135388.1,CU634019.1,USP17L5
14757,USP17L26,AL583839.1,AL136368.1,PLAGL2,THEMIS,GH1,LINC00508,AL162430.2,AC103855.1,PCCB,AC110285.1,AL121892.1,AC135068.3
14758,AC006272.1,AC079790.1,GTF2A1L,SLC35G3,AC027796.4,AC005005.3,ASB7,KIF25,KRTAP5-4,HLA-DOB,WNT8A,HNRNPCL3,MBD3L4
14759,IGLV3-24,SDHD,LINC01309,LINC01544,RSPRY1,Z97652.1,AP000943.2,AP001267.2,IGHV4-55,CSAG1,AC025178.1,DEFB126,FAM99B
14760,TRBV7-1,AP001005.3,OR2C3,ITGB6,SPI1,AC128709.1,PIK3AP1,AC135012.1,AC124312.3,AC018362.2,AL139350.1,AP000431.1,OR52E8
14761,TRGV1,NTM-AS1,GPR142,AC087633.1,AC026992.2,TCTE1,LINC01716,ZMIZ1-AS1,CABS1,TMEM41A,FBXO40,AC025887.1,GAGE13
14762,AC025183.3,AC021074.3,SLC25A47,AC010998.3,AC100858.3,IGSF21-AS1,LINC01189,C1orf105,PRICKLE2-AS1,NAIF1,AL109955.1,AC239585.2,IGHD4-17
14763,AL162400.2,CLCA4,AC016383.1,MIR200CHG,C13orf46,POU4F3,AC005899.1,TMEM80,OR5D13,AL354707.1,SERPINC1,AC003685.1,AC084365.1
14764,IGLV2-33,TNP1,PRICKLE2-AS2,SUB1,CATSPER3,NPIPA2,U47924.3,KLHL40,OR5D14,ADAMTSL5,LRRTM2,AC082650.1,RNASE12
14765,AL117382.2,AC022164.1,LINC02324,OR1N2,AC005410.2,LINC02221,AC005699.1,MTERF2,LINC02563,UMOD,AC073539.3,AC018371.1,AC138869.3
14766,LINC01718,AC116348.1,BPIFB3,GLYATL3,AL031846.2,AC100835.2,KIRREL3-AS1,ESPL1,APCS,DMRT1,AC020917.2,AC003688.2,IGHD4-23
14767,IGLV10-67,PFN3,GRPEL2-AS1,ADRA2B,AL583722.1,Z94721.1,CCDC60,ZC3H11B,IGKV2D-24,ZNF830,AL160163.1,AL589987.2,ACTRT2
14768,IGLV3-12,AC098934.4,AC110995.1,AL353807.2,AC069287.1,AC009159.1,LINC00958,TEX48,OR5D18,CLCA2,AC117395.1,AP000233.1,OR5P2
14769,IGLV4-3,DEFB131B,AF124730.1,AC022733.1,KIAA0319L,AC078922.1,AC062021.1,ZNF782,AC010424.3,AC040963.1,TAC4,GOLGA8G,OR4C16
14770,AC106744.2,AC010149.1,IL22,SCN10A,ANKRD30A,HRG,SIVA1,GHITM,OR10T2,SCIMP,SLC35G5,KRTAP4-5,AC245056.1
14771,IGLJ2,AC092484.1,AC008663.2,SAP30L,AL035409.1,SOX1-OT,AC008522.1,FDXACB1,AP000424.2,SAMSN1-AS1,AC008991.1,AP002428.1,AP005202.2
14772,AC138305.2,AC010761.5,TSPYL5,AC008133.1,AC008781.2,RDH16,AC020928.1,LINC01231,AC090200.1,ZNF784,AC130456.3,AC022679.1,AC008940.1
14773,AP000534.1,AL122010.1,AC062029.1,IL27,HLA-DMB,AC099684.1,AC104653.2,AC232271.1,OR56B4,AP001476.3,LINC01284,UGT1A10,AL122008.3
14774,AC108448.1,TRBV25-1,LINC00630,PCDHGB3,YY1AP1,ZCCHC13,AP006565.1,ATG2A,IGKV2D-23,ARL17A,AC090607.1,IGKV1-33,RBMY1D
14775,IGLJ4,FAM72C,TP73,AL353699.1,TTC6,FGF21,KIF2A,RPRML,IGHVII-60-1,AC020594.1,DAB2IP,TRAV33,IGLV3-2
14776,IGLJ5,PCP2,AC087664.1,TMEM169,SLA,LINC01685,AC079610.2,CXorf38,IGHV7-27,LLPH-DT,AL136320.1,AC025278.1,IGHV7-81
14777,IGLJ6,ZNF618,VSIG2,PERM1,AC011510.1,AC114810.1,PPP4R3A,AC034228.3,FP475955.2,AC104051.1,AC016266.1,AC026202.1,MAGEA2B
14778,IGLJ7,AC092590.1,KLHL35,PCF11,AC092979.1,AC025741.1,CREB3L3,HSD17B13,OR52E8,MED12L,LINC01948,AC245748.3,AP000534.1
14779,TRGJ2,AL117379.1,AC109361.1,AP000769.2,KPNA2,BBIP1,PCDHGA1,GPR65,IGLVIV-59,AC136698.1,ZNF547,OR6V1,TTTY8
14780,TRGJP2,AC011306.1,AC015912.1,SHC2,TERB1,LINC02551,AC018362.1,THEGL,IGKV2D-14,AC093788.1,AL157932.1,IFNA7,TFDP3
14781,TRGJ1,HBA1,AC091939.1,OR10A2,UBA2,LINC00550,ZNF572,AC132938.3,AC011676.4,AC034236.2,GPRIN3,AC019064.1,KRTAP29-1
14782,HTR1A,AC099482.1,TNKS2-AS1,ZNF197-AS1,PDCD6IP,AC091180.4,TECPR2,INCA1,IGHVII-1-1,LIPM,MMP9,LINC01921,KRTAP10-1
14783,FAM99B,LGALS13,AL391294.1,RBM18,AL445490.1,CLPS,XIAP,VMA21,IGKV3OR22-2,LINC02074,AC122719.1,IGKV2D-28,KRTAP16-1
14784,AL157371.1,OR9G4,ETV5-AS1,TAL1,CLEC7A,TOMM40L,RXYLT1-AS1,ZNF180,SPANXA1,TEX43,VBP1,AC024610.1,AL512310.10
14785,IGLV3-29,AC025575.2,AL592114.3,ASGR2,AP001363.1,HOXC13,AC004771.1,AC025265.1,DEFB128,FRY-AS1,AC011481.1,MBD3L5,HTR1A
14786,IGHVII-33-1,AC005162.2,DPH7,NFATC3,TSLP,CXCR3,HDAC11-AS1,TBCCD1,AC100871.2,HEMGN,AC103843.1,PPIAL4C,AC104211.3
14787,AL512310.10,AL353770.3,AC012254.3,CUZD1,SMC5-AS1,TMEM174,SMIM27,AC009495.3,IGHJ5,AP002833.2,OR2A25,AC004906.1,OR5M8
14788,FAM236B,AC120349.1,MATN1,AC119396.1,LINC02204,AC020914.1,TBC1D3B,PLEK,OR1S2,LRRC71,LINC01510,FAM99A,OR2T34
14789,OR5D16,CABP5,AC000099.1,AP005436.2,SLIT1,DNAJC5B,LINC00551,ZSCAN20,KRTAP10-11,AC069213.1,NCOA5,KRTAP5-6,AL117382.2
14790,OR5L2,FAM200A,AC003956.1,ZYG11A,SLCO1B7,SNHG9,AC124319.2,FOLR2,IGKV3D-31,SOX21-AS1,A3GALT2,AC007359.1,AL137076.1
14791,IGHV3-57,GOLGA8F,ZC3H11B,AC106037.2,LEFTY1,ZNF620,AL022238.3,ZNF543,Z82202.1,FLJ45513,AC010643.1,AL160290.1,PRR20D
14792,AC011196.1,AC025257.1,AL133163.3,SMIM27,AC037487.2,AC068831.4,CLEC4E,BX276092.9,AC145141.2,AC008608.2,LINC01874,AC004063.1,AL049541.2
14793,AC073094.1,LINC01490,DEFA3,AC008878.4,POLD1,AC138207.5,GPT2,AC024896.1,AC092673.1,MBOAT4,WDR45,OR51G2,AC005232.1
14794,AP005380.1,IGKV1-5,AL031587.4,HSF4,AC005387.2,AC093911.1,AC023034.1,CEP152,TRAV37,IL36B,HCG15,FAM41AY2,FP565260.4
14795,LINC02103,AL161757.2,AL512785.1,AC025253.1,AC007221.1,LRRIQ4,C6orf47-AS1,AC104454.2,IGHVIII-38-1,AC005726.2,TIGIT,AL389889.1,Z98747.1
14796,AC124312.3,ODF4,AL136359.1,AC135782.3,AC026116.1,LINC01342,TAGLN3,AC013476.1,AP005380.1,SLCO1A2,AC010761.1,LRRC10,USP17L17
14797,OR52R1,STK4-AS1,C6orf163,RHOG,SLC38A3,AC008581.1,IL36B,AC064807.1,UGT1A3,MED29,RAB37,CSN2,IGHD2-15
14798,AC008494.2,SPX,AC009102.2,TRAV6,SH2D1B,AC016644.1,RPP38,AP000919.3,OR5D3P,AC073321.1,GRIN1,AC010486.3,IGHD3-16
14799,IGHV3-6,JSRP1,IRF2BP1,AC096554.1,AIRE,IGHV2-70,REC8,LINC00987,IGKV2D-38,EBP,ZC4H2,LINC01639,IGHVII-78-1
14800,AC018637.1,LINC02488,AC099314.1,PRR35,AL391261.2,AP000866.5,LINC01501,NAPA,IGLVV-58,CCDC60,APOA2,TTTY21B,AC061979.1
14801,TRDD3,AL513303.1,ANP32D,AC066595.1,LINC01951,BX005214.2,CELA1,C4orf36,AC129492.2,MKS1,OR52K1,AC027287.2,CYP11B1
14802,USP17L11,AL121787.1,TRBV12-5,AL138889.1,KIF5B,OR2S2,GPR52,RAP1A,TTTY8B,AC010595.1,AC092431.1,RD3L,AC083841.3
14803,USP17L21,AL023754.1,IGLL1,AC093159.1,TMEM95,PDILT,AL445648.1,C11orf16,AC104211.3,LRRC69,VAMP4,AC019209.1,OR6S1
14804,AL121910.1,PARP14,AC099552.2,AMBN,SFI1,AC108727.2,AC026167.1,AL162425.1,AC015468.2,PRB1,AL512634.1,AC104561.3,CYP11B2
14805,BX664730.1,AC004884.2,AC037487.1,RNFT2,AL031058.1,ITGAX,AC092723.5,VGF,OR13F1,GLI4,CSNK1G2,FAM223B,IGHVII-67-1
14806,OR6C68,AC008878.4,TMEM88B,AP003355.2,NPFFR1,AL451140.1,AC009120.4,LINC00997,IGLV3-2,SLC25A31,AC025165.4,OR6C76,DEFB113
14807,AP000477.2,AP002802.1,HHLA1,AP000439.1,FXR2,KIAA1324,RTF1,PCBD2,IGKV3D-25,AC010395.1,AP000688.3,AC009108.2,TRAV7
14808,DCANP1,AC004690.2,CCDC60,AC022679.2,RAB4A,LINC02093,AP003108.1,B3GNTL1,IGHV3-63,AC021205.3,AC084026.2,AC084291.1,IGHVII-46-1
14809,PRAMEF18,ERICH5,GOLGA6L7,AL162727.1,AL132655.2,AL357673.2,AC140481.1,ONECUT1,PRAMEF26,AC092368.3,OXSR1,AC012150.2,TRAV9-1
14810,IGHVIII-11-1,AMHR2,AC104971.2,AC131097.1,AC099518.1,AC010275.1,SSX2B,SS18,OR6C74,EML6,AC131254.3,AL583854.1,AC018716.2
14811,IGKV1OR9-1,KLHL31,VMAC,AC079336.5,AL355581.1,AC113418.1,AL590068.1,TMPRSS9,KRTAP15-1,TRHR,NUP210L,OR1G1,LINC01442
14812,IGHV3-42,LYST-AS1,LINC00662,ADGRL4,CELA2B,AC105430.1,POLR2J2,IFT74-AS1,KRTAP19-2,AL121992.3,AC005609.5,AL160413.1,AL096814.1
14813,AC024681.2,AC010203.2,HK3,AL008638.3,AC090993.1,PDCD2L,AC007686.2,AL031600.1,AL008636.1,SPDEF,PMP2,AL358972.1,OR8K3
14814,AC020743.3,TBX4,RBFADN,AL023881.1,RPL10L,CEACAM20,TMEM155,AC005840.4,IGLVIV-53,LINC01374,OR2V1,IFNA17,PRR23D1
14815,C4B-AS1,AC027514.2,AC011443.1,ASB17,ZNF799,AC008494.3,AP003721.3,PODXL2,KRTAP6-2,LINC02221,CHD9,CGB1,AC134981.1
14816,AC084365.1,AP000459.2,PRSS56,LINC02494,KCNS2,LIN28A,TAB2-AS1,SDR42E1,IGHVII-51-2,ZPBP,LINC00703,OR10H2,MRGPRG
14817,IGLVI-63,AL135923.2,AC004477.2,ORC3,SUCLA2-AS1,AL451069.3,LURAP1,FP565260.3,KRTAP19-6,MS4A2,LINC01455,ARPP21-AS1,PRAMEF26
14818,KRTAP4-8,AC099681.2,REG1A,FGF23,SH3TC2-DT,TAS2R39,AC005993.1,KRBOX4,OR5M8,AP001775.2,MOGAT1,AC011193.1,AC108051.1
14819,AC141257.1,AD000090.1,TONSL,TTTY13,LINC02340,HCAR3,Z82186.1,RBL1,KRTAP22-1,FAM90A1,AL358472.2,OR2A2,OR5F1
14820,TSPY3,AC016722.1,KISS1,AC005096.1,ASB13,AC009908.1,AP001107.1,FXN,AP005202.2,CLCN1,PDE6A,TRIM49D1,GAGE12D
14821,DEFB130B,AL049870.2,ZNF19,TNFAIP8L1,AL354950.1,ESPL1,VSTM1,RPP14,OR1S1,CDRT8,ZBBX,TRAJ46,MBD3L3
14822,PRR20B,FCRL1,AP000487.2,PRDM13,AL139286.2,AP005264.3,NLRP8,BRD3,AC005232.1,ZNF382,GPIHBP1,AC120498.6,Z82202.1
14823,PRR20A,AC007638.2,AC087477.4,AC009088.2,CFAP47,ZNF185,AC073325.1,REC8,IGLC4,TENT5D,GPR33,SPANXN5,OR8K1
14824,IGKV2D-18,LINC02380,PPP1R27,ITGB1BP2,MRC1,AC106791.2,AL606534.1,PDCD1,OR5P2,KRT85,ST18,OR11H1,TRAV31
14825,AC093726.1,AC036108.1,AL445183.2,AL136140.1,NME6,LINC01180,ELOVL7,AC008883.1,AC010760.1,WDR88,MFSD6L,RNASE8,AL359094.2
14826,SERPINA7,AC015802.1,AC090680.1,OVGP1,AC109587.1,C12orf71,CNIH1,AC100801.1,IGHVIII-5-2,EXOC3-AS1,LINC02029,AC090957.1,MRGPRX1
14827,AL353615.1,GPR37L1,AP005210.1,TAS1R3,SCAANT1,AL355870.1,LINC01629,WDR38,TRBV1,PHKB,UBE2F,SCYGR1,OR1S1
14828,SCYGR3,LINC01099,AC073254.1,AC090193.1,SCGB1A1,AL353803.5,NXF1,CCDC177,OR8B4,PLPP6,AC007422.1,MAGEA9,AC073174.1
14829,AC234771.1,AC005592.1,AL512643.1,VCPKMT,FAM218A,AL138957.1,H2BFM,AC006213.1,AC112219.1,ATG9B,AC073508.3,AC093083.1,OR5M9
14830,OR6C65,AC009097.4,AC007463.1,AC137590.1,TXNRD2,AC090510.2,AP003774.2,TEP1,LINC00554,ACSM3,AC008537.4,AC015977.2,AL008636.1
14831,OR6C3,SLC35F3,IGHV1-69D,AL731563.3,AC022784.1,KRTAP1-4,LINC02465,CATSPERB,AL645608.5,AC003991.2,Z82186.1,POTEB2,KCNA6
14832,AL512624.2,MYBPC2,C1orf109,LAMP3,AL023284.4,LINC02206,SIRT3,AC092608.1,IGKV1D-43,LINC00384,AC055855.1,IGKJ1,IGHVII-53-1
14833,IGHV3-37,DDX39B-AS1,HERPUD2,AC018521.7,AF111169.3,AC018462.1,PHF5A,LINC00229,AC019183.1,TGM4,ZNF517,IGLV3-32,HNRNPCL4
14834,LINC02578,AP000757.1,AC022596.1,AL590723.1,KLHL34,TSSK2,RPUSD2,AL512604.3,AL034430.1,AC011491.3,TTC5,AC245128.3,AC024270.3
14835,AL592464.2,IZUMO2,TMEM207,AC005616.1,TBL1XR1-AS1,TKTL2,MYH3,AC211433.2,AL358215.2,AC108879.1,CHRNA6,SSX4,TRBJ2-2
14836,AL035696.1,CU633906.2,AL139423.1,AC006435.1,PTPRB,AC017006.2,AL121899.1,AL359237.1,AC073174.1,AC005695.1,TRIL,VPREB1,AC011899.1
14837,IGLVIV-65,ZNF32-AS3,LINC01181,AC006116.8,UCKL1-AS1,LINC02142,LINC02267,AC239802.2,PIGY,TAS1R2,LINC01075,USP17L10,AL645634.1
14838,TRBV23OR9-2,NUP62CL,AC093292.1,AC013248.1,AC092683.2,SYT8,PATL1,AC013549.1,OR51F1,APOBEC3D,AC016705.2,AL392183.1,TRAJ25
14839,OR5D13,AC116565.1,NPIPB12,SENP1,AGBL2,PYDC2,LINC01997,YTHDF3-AS1,IGLVVII-41-1,LINC01450,GBA2,AC008154.2,AL352955.1
14840,AC110288.1,GPSM2,FBXO3-DT,PSKH2,RBBP9,AC012413.1,RTEL1,WWC1,IGLV3-7,AC097487.1,AL583810.2,AL451105.2,IGHV3-6
14841,IGKV2-18,AL354710.2,NCF4-AS1,USH1C,ITK,Z99774.1,AC013270.1,KLHL15,AC024619.2,FOXA3,AP000757.2,TMEM239,AC097518.1
14842,MBD3L4,AC021146.12,AC005262.2,IGBP1-AS1,AC008127.1,CNTF,CEBPZOS,AC093010.2,IGKV1D-17,TMPRSS2,ZC3H7A,GABRB1,IGLVI-63
14843,AC010723.1,AL353633.1,LINC01065,PCDHGA11,AC092376.1,TRIM49B,PHEX-AS1,AC009318.2,IGHVIII-67-4,AP000757.1,C8A,AC006305.3,TRAJ44
14844,Z98257.2,LINC01924,RTN4IP1,DRICH1,AC114485.1,OTOR,CDK10,AP003068.1,TRBV5-2,OGDHL,AC020661.1,AC009137.1,IGHV3-57
14845,AC010451.2,TSPAN10,LINC01446,LINC01776,FBXO36,POTEJ,CCDC97,PRKAB1,IGHVIII-22-2,SHROOM3,LINC02292,AC012615.5,TRDJ4
14846,FP475955.2,FAM201A,PARS2,AL592431.2,MAMDC4,AC104073.4,RPS6KL1,AC130352.1,SPATA31A6,CLK3,AC007485.1,AL359555.1,TRDJ3
